Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 16plex_N	Razor + unique peptides 16plex_N	Unique peptides 16plex_N	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Identification type 16plex_N	Reporter intensity corrected 1 16plex_N	Reporter intensity corrected 2 16plex_N	Reporter intensity corrected 3 16plex_N	Reporter intensity corrected 4 16plex_N	Reporter intensity corrected 5 16plex_N	Reporter intensity corrected 6 16plex_N	Reporter intensity corrected 7 16plex_N	Reporter intensity corrected 8 16plex_N	Reporter intensity corrected 9 16plex_N	Reporter intensity corrected 10 16plex_N	Reporter intensity corrected 11 16plex_N	Reporter intensity corrected 12 16plex_N	Reporter intensity corrected 13 16plex_N	Reporter intensity corrected 14 16plex_N	Reporter intensity corrected 15 16plex_N	Reporter intensity corrected 16 16plex_N	Reporter intensity 1 16plex_N	Reporter intensity 2 16plex_N	Reporter intensity 3 16plex_N	Reporter intensity 4 16plex_N	Reporter intensity 5 16plex_N	Reporter intensity 6 16plex_N	Reporter intensity 7 16plex_N	Reporter intensity 8 16plex_N	Reporter intensity 9 16plex_N	Reporter intensity 10 16plex_N	Reporter intensity 11 16plex_N	Reporter intensity 12 16plex_N	Reporter intensity 13 16plex_N	Reporter intensity 14 16plex_N	Reporter intensity 15 16plex_N	Reporter intensity 16 16plex_N	Reporter intensity count 1 16plex_N	Reporter intensity count 2 16plex_N	Reporter intensity count 3 16plex_N	Reporter intensity count 4 16plex_N	Reporter intensity count 5 16plex_N	Reporter intensity count 6 16plex_N	Reporter intensity count 7 16plex_N	Reporter intensity count 8 16plex_N	Reporter intensity count 9 16plex_N	Reporter intensity count 10 16plex_N	Reporter intensity count 11 16plex_N	Reporter intensity count 12 16plex_N	Reporter intensity count 13 16plex_N	Reporter intensity count 14 16plex_N	Reporter intensity count 15 16plex_N	Reporter intensity count 16 16plex_N	Sequence coverage 16plex_N [%]	Intensity	Intensity 16plex_N	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions	Taxonomy IDs
YBR041W	YBR041W	10	10	10	sp|YBR041W|FAT1_YEAST NCSL01000019.1 109079-111088 ORF Verified Very long chain fatty acyl-CoA synthetase and fatty acid transporter; activates imported fatty acids with a preference for very long lengths (C20-C26); has a separate function in the transport	1	10	10	10	10	10	10	25.4	25.4	25.4	77.141	669	669	7.17			1		1	4	1	2	1	1		1	0	70.757	By MS/MS	2236300	3326500	2893800	2791100	3130100	2867300	3071700	2617900	2297700	2593400	3485200	3753600	3767900	3522300	2389400	3829100	2236300	3326500	2893800	2791100	3130100	2867300	3071700	2617900	2297700	2593400	3485200	3753600	3767900	3522300	2389400	3829100	11	13	11	13	12	13	13	11	11	11	13	12	12	12	11	12	25.4	2294800000	2294800000	14				193	7267;7794;8379;13762;16360;16455;17243;27128;30299;30668	True;True;True;True;True;True;True;True;True;True	7505;8054;8654;14219;16896;16995;17805;28064;31353;31732	12644;13621;14671;14672;23954;28388;28389;28582;29922;47064;53022;53682	11041;11042;11880;12771;12772;20948;24812;24813;24954;26097;41081;41082;46185;46764	11041;11880;12772;20948;24812;24954;26097;41081;46185;46764					-1
YBR042C	YBR042C	3	3	3	sp|YBR042C|CST26_YEAST NCSL01000019.1 107745-108938 ORF Verified Putative transferase involved in phospholipid biosynthesis; required for incorporation of stearic acid into phosphatidylinositol; affects chromosome stability when overexpressed; CST26 has a 	1	3	3	3	3	3	3	8.1	8.1	8.1	45.541	397	397	6.25		1					1	2					0	5.39	By MS/MS	290620	373030	315430	326720	471660	399960	495100	290760	433900	587430	595610	549550	664690	642510	463840	758100	290620	373030	315430	326720	471660	399960	495100	290760	433900	587430	595610	549550	664690	642510	463840	758100	2	3	2	2	4	4	4	2	4	4	4	4	4	4	4	4	8.1	508870000	508870000	3				194	7520;12263;17455	True;True;True	7772;12685;18019	13104;13105;21533;30292	11451;18771;26407	11451;18771;26407					-1
YBR044C	YBR044C	4	4	4	sp|YBR044C|TCM62_YEAST NCSL01000019.1 103295-105013 ORF Verified Protein involved in assembly of the succinate dehydrogenase complex; mitochondrial; putative chaperone GN=TCM62 PE=1 SV=1	1	4	4	4	4	4	4	8.2	8.2	8.2	64.279	572	572	5	1			1			1	1					0	8.1378	By MS/MS	179240	95075	72357	49854	131980	173910	181260	71257	69779	80235	122960	138120	109140	63381	114480	208270	179240	95075	72357	49854	131980	173910	181260	71257	69779	80235	122960	138120	109140	63381	114480	208270	4	3	4	3	4	4	4	3	3	4	4	4	4	3	4	4	8.2	178860000	178860000	4				195	880;4967;7107;26742	True;True;True;True	924;5141;7339;27660	1753;8785;12362;46409	1466;7654;10805;40526	1466;7654;10805;40526					-1
YBR045C	YBR045C	3	3	3	sp|YBR045C|GIP1_YEAST NCSL01000019.1 99260-101179 ORF Verified Meiosis-specific regulatory subunit of the Glc7p protein phosphatase; regulates spore wall formation and septin organization, required for expression of some late meiotic genes and for normal l	1	3	3	3	3	3	3	6.7	6.7	6.7	73.373	639	639	3.33	1	1					1						0	8.6481	By MS/MS	24606	45565	0	34072	0	64282	22573	73975	94028	198970	204980	260560	119040	123590	27992	70866	24606	45565	0	34072	0	64282	22573	73975	94028	198970	204980	260560	119040	123590	27992	70866	1	1	0	1	0	1	1	1	2	3	3	3	3	3	1	2	6.7	95717000	95717000	3				196	306;8206;23708	True;True;True	315;8480;24529	555;14380;41074	479;12523;35848	479;12523;35848					-1
YBR046C	YBR046C	17	17	17	sp|YBR046C|ZTA1_YEAST NCSL01000019.1 97840-98844 ORF Verified NADPH-dependent quinone reductase; GFP-tagged protein localizes to the cytoplasm and nucleus; has similarity to E. coli quinone oxidoreductase and to human zeta-crystallin GN=ZTA1 PE=1 SV=1	1	17	17	17	17	17	17	49.7	49.7	49.7	37.018	334	334	7.61			4	3		2	4	3	2	5	3	2	0	75.068	By MS/MS	3924000	4700900	3590100	3196400	3865400	4679900	5207200	3504200	3580600	4194800	4058000	4316800	4422300	3905800	3447800	6185700	3924000	4700900	3590100	3196400	3865400	4679900	5207200	3504200	3580600	4194800	4058000	4316800	4422300	3905800	3447800	6185700	16	19	18	17	20	22	22	17	20	20	19	20	19	22	20	23	49.7	4883200000	4883200000	23				197	2866;4181;5828;5829;7524;7525;8251;8290;9362;10222;12197;13174;17568;18207;25731;28588;31353	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2981;4337;6032;6033;7776;7777;8526;8565;9695;10595;12619;13612;18134;18834;26621;29573;32439	5474;5475;7576;7577;10205;10206;13109;13110;13111;14450;14451;14452;14524;16569;16570;18169;18170;21437;21438;23032;30487;30488;31750;44615;49814;49815;54958;54959	4673;4674;6558;6559;8934;8935;11455;11456;12587;12645;14436;14437;15853;18683;18684;20112;26574;27649;27650;38951;43451;47862;47863	4674;6558;8934;8935;11455;11456;12587;12645;14437;15853;18683;20112;26574;27649;38951;43451;47863					-1
YDR025W;YBR048W	YDR025W;YBR048W	16;16	16;16	16;16	sp|YDR025W|RPS11A_YEAST NCSL01000013.1 21008-21817 ORF Verified Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; N-terminally propionylated in vivo; RPS11A has a paralog, RPS11B, that 	2	16	16	16	16	16	16	64.7	64.7	64.7	17.749	156	156;156	6	5	4	3	4	3		2	5	2	4	3	2	0	67.531	By MS/MS	10547000	10971000	8156900	9144100	8806100	14880000	12109000	8669600	7526100	11059000	9900600	11227000	10617000	10419000	9376700	13701000	10547000	10971000	8156900	9144100	8806100	14880000	12109000	8669600	7526100	11059000	9900600	11227000	10617000	10419000	9376700	13701000	21	22	23	22	23	26	25	22	25	24	24	24	25	21	25	24	64.7	70155000000	70155000000	29				198	546;2580;2822;8296;9836;11493;12874;18835;18836;20365;21500;25787;25788;29452;29453;29486	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	571;2691;2936;8571;10192;11896;13308;19539;19540;21122;22284;26678;26679;30478;30479;30512	1040;1041;5030;5031;5402;5403;14531;14532;17473;17474;20289;20290;22571;22572;32974;32975;35407;35408;35409;35410;35411;37339;37340;37341;37342;37343;44727;44728;44729;51451;51452;51453;51454;51506;51507;51508;51509	877;4270;4608;4609;12652;15208;17675;17676;19699;28736;28737;30928;30929;30930;32604;32605;32606;32607;32608;32609;39046;39047;39048;44870;44871;44872;44873;44914;44915	877;4270;4608;12652;15208;17676;19699;28736;28737;30928;32605;39046;39048;44870;44873;44914					-1;-1
YBR049C	YBR049C	15	15	15	sp|YBR049C|REB1_YEAST NCSL01000019.1 92535-94967 ORF Verified RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transc	1	15	15	15	15	15	15	20.1	20.1	20.1	91.854	810	810	6.21	1	1	1	2	3	2	3	3		1	2		0	91.209	By MS/MS	940700	1170600	539060	454780	885500	1159500	1259700	803620	1016600	1483500	1329700	1044200	1117800	1253200	747970	1731700	940700	1170600	539060	454780	885500	1159500	1259700	803620	1016600	1483500	1329700	1044200	1117800	1253200	747970	1731700	11	13	9	10	11	13	15	10	13	15	17	14	13	15	11	16	20.1	2632100000	2632100000	17				199	464;2056;3611;3769;5080;6398;8352;11958;14629;20464;22026;23667;25087;26266;30412	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	486;2151;3748;3910;5256;6615;8627;12376;15114;21224;22821;24487;25960;27170;31468	886;887;3944;6680;6927;8975;11213;14629;21053;25458;35576;38202;40992;40993;43518;45575;45576;53207;53208	756;3338;5733;5963;7825;9824;12731;18343;22278;31073;33377;35774;35775;37969;39797;46344;46345	756;3338;5733;5963;7825;9824;12731;18343;22278;31073;33377;35774;37969;39797;46345					-1
YBR050C	YBR050C	1	1	1	sp|YBR050C|REG2_YEAST NCSL01000019.1 91154-92170 ORF Verified Regulatory subunit of the Glc7p type-1 protein phosphatase; involved with Reg1p, Glc7p, and Snf1p in regulation of glucose-repressible genes, also involved in glucose-induced proteolysis of malt	1	1	1	1	1	1	1	4.7	4.7	4.7	38.69	338	338	10										1			0	7.3092	By MS/MS	0	0	0	0	11719	0	7446.6	10671	0	0	7171.5	0	4327	0	0	0	0	0	0	0	11719	0	7446.6	10671	0	0	7171.5	0	4327	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	4.7	0	0	1				200	25015	True	25886	43406	37872	37872					-1
YBR052C	YBR052C	7	7	7	sp|YBR052C|RFS1_YEAST NCSL01000019.1 90001-90633 ORF Verified Protein of unknown function; member of a flavodoxin-like fold protein family that includes Pst2p and Ycp4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctat	1	7	7	7	7	7	7	36.7	36.7	36.7	22.921	210	210	6	3			1	3	1		1	1	1	1	1	0	59.996	By MS/MS	5845300	5939100	4135600	3559500	6399700	6328900	5157500	5123300	4135200	6086600	4889300	4889500	5226800	5719800	3768600	7157400	5845300	5939100	4135600	3559500	6399700	6328900	5157500	5123300	4135200	6086600	4889300	4889500	5226800	5719800	3768600	7157400	12	12	10	10	11	11	13	10	10	11	12	12	11	11	11	12	36.7	4957900000	4957900000	13				201	5606;8095;8096;23377;26085;26969;28473	True;True;True;True;True;True;True	5808;8367;8368;24194;26983;27900;29456	9825;14171;14172;14173;40470;40471;45246;45247;46791;46792;49602;49603;49604	8594;12349;12350;12351;35305;35306;39501;39502;40849;40850;43277;43278;43279	8594;12349;12351;35305;39501;40849;43277					-1
YBR053C	YBR053C	12	12	12	sp|YBR053C|dubious48_YEAST NCSL01000019.1 88602-89678 ORF Uncharacterized Putative protein of unknown function; induced by cell wall perturbation GN=dubious48 PE=1 SV=1	1	12	12	12	12	12	12	33	33	33	40.421	358	358	7.24		2	3	1		1	1	1	1	3	2	2	0	64.725	By MS/MS	1199800	1387300	717410	636000	683230	971980	1031900	752810	741590	836010	1046400	773710	847310	741040	629030	1249900	1199800	1387300	717410	636000	683230	971980	1031900	752810	741590	836010	1046400	773710	847310	741040	629030	1249900	13	14	13	14	14	14	15	15	12	14	14	14	15	14	14	14	33	1726000000	1726000000	16				202	3421;4363;5576;11817;14713;15928;23221;27061;28137;29411;29494;29495	True;True;True;True;True;True;True;True;True;True;True;True	3547;4524;5777;12231;15202;16451;24033;27996;29110;30434;30520;30521	6360;6361;7837;9782;20822;20823;25630;27671;27672;40185;46944;48976;48977;51372;51373;51522;51523	5451;5452;5453;6809;8553;18153;18154;22421;24206;35060;40977;42729;44802;44803;44926;44927	5451;6809;8553;18153;22421;24206;35060;40977;42729;44803;44926;44927					-1
YBR054W	YBR054W	2	1	1	sp|YBR054W|YRO2_YEAST NCSL01000019.1 85225-86250 ORF Verified Protein with a putative role in response to acid stress; null mutant is sensitive to acetic acid; transcription is regulated by Haa1p and induced in the presence of acetic acid; protein observed	1	2	1	1	2	1	1	5.3	3.2	3.2	38.364	341	341	3			1										0.0094628	1.8597	By MS/MS	0	0	0	0	0	0	0	65059	0	34049	38217	30668	15563	34908	51936	64823	0	0	0	0	0	0	0	65059	0	34049	38217	30668	15563	34908	51936	64823	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	5.3	73169000	73169000	1				203	7966;24871	False;True	8230;25739	13923;13924;13925;43174	12149;37663	12149;37663					-1
YBR055C	YBR055C	1	1	1	sp|YBR055C|PRP6_YEAST NCSL01000019.1 82064-84763 ORF Verified Splicing factor; component of the U4/U6-U5 snRNP complex GN=PRP6 PE=1 SV=1	1	1	1	1	1	1	1	1.7	1.7	1.7	104.18	899	899	9									1				0	5.3102	By MS/MS	96518	93258	103040	133780	94575	41119	55751	124330	92309	99453	68591	70000	127030	98481	81327	0	96518	93258	103040	133780	94575	41119	55751	124330	92309	99453	68591	70000	127030	98481	81327	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1.7	83331000	83331000	1				204	16058	True	16583	27884	24383	24383					-1
YBR056W	YBR056W	16	16	16	sp|YBR056W|dubious49_YEAST NCSL01000019.1 79981-81486 ORF Verified Putative glycoside hydrolase of the mitochondrial intermembrane space GN=dubious49 PE=1 SV=1	1	16	16	16	16	16	16	25.5	25.5	25.5	57.821	501	501	6.04	3		1	2	5	2	2	4	1	1	1	1	0	35.393	By MS/MS	2070500	2550700	1527700	1368500	1822200	2300300	2702700	2684400	2207000	2929900	3309400	3320800	2414900	2619600	2028600	5293800	2070500	2550700	1527700	1368500	1822200	2300300	2702700	2684400	2207000	2929900	3309400	3320800	2414900	2619600	2028600	5293800	11	15	13	12	14	15	17	17	15	16	16	18	14	16	16	18	25.5	4950500000	4950500000	18				205	3736;6115;7474;7982;8375;10498;12955;19455;22054;22466;22467;23390;25889;25890;27330;30101	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3876;6324;7720;8247;8650;10877;13389;20174;22849;23267;23268;24206;26785;26786;28271;31150	6876;10739;10740;13001;13002;13003;13950;14663;14664;14665;14666;18624;22682;33971;38239;38890;38891;38892;40489;44933;44934;47413;52670	5917;9412;11363;11364;12170;12764;12765;16243;19799;29634;33412;33955;33956;35323;39229;39230;41391;45886	5917;9412;11363;12170;12764;16243;19799;29634;33412;33955;33956;35323;39229;39230;41391;45886					-1
YBR057C	YBR057C	8	8	8	sp|YBR057C|MUM2_YEAST NCSL01000019.1 75901-77001 ORF Verified Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also in	1	8	8	8	8	8	8	26.5	26.5	26.5	41.433	366	366	7.79		2	1				2		4	3	2		0	27.199	By MS/MS	3649500	3135800	2569400	2870200	3234600	3395100	3328000	2883100	1711000	1469200	1994500	2133500	2323500	2638100	1834700	2801300	3649500	3135800	2569400	2870200	3234600	3395100	3328000	2883100	1711000	1469200	1994500	2133500	2323500	2638100	1834700	2801300	7	7	5	7	7	9	9	8	9	7	8	8	7	8	7	8	26.5	2873300000	2873300000	10				206	4709;10682;13244;14911;18968;23815;27349;30571	True;True;True;True;True;True;True;True	4879;11064;13684;15402;15403;19674;24639;28291;31634	8384;18928;18929;18930;18931;18932;23141;25929;25930;33188;41271;47447;47448;53528	7288;16503;16504;20211;22682;22683;28935;36022;41422;46619	7288;16503;20211;22683;28935;36022;41422;46619	78		317		-1
YBR058C	YBR058C	15	15	15	sp|YBR058C|UBP14_YEAST NCSL01000019.1 73206-75551 ORF Verified Ubiquitin-specific protease; specifically disassembles unanchored ubiquitin chains; involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; similar to human isopeptidase T GN=UBP14 PE=1 SV	1	15	15	15	15	15	15	25.4	25.4	25.4	88.591	781	781	5.7	3	4			2	2	2	2	1	2	2		0	61.742	By MS/MS	685240	770610	632220	695630	729610	772820	936220	934350	794370	1042200	1019700	965630	1056800	895840	709870	1446100	685240	770610	632220	695630	729610	772820	936220	934350	794370	1042200	1019700	965630	1056800	895840	709870	1446100	13	12	14	16	15	14	17	16	12	14	16	16	15	15	15	17	25.4	1406900000	1406900000	19				207	2556;2713;5672;6218;10021;10115;10771;11059;12799;16616;17861;18701;20776;24163;25458	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2667;2826;5874;6430;10385;10484;11156;11447;13232;17163;18439;19391;21541;25002;26343	4986;5244;9957;9958;10906;17807;17808;17964;17965;17966;19083;19547;22464;28863;31058;32730;36129;41884;41885;44132	4230;4461;8711;8712;8713;9559;15526;15527;15665;15666;16632;17038;19594;25201;27056;28536;31533;36543;38517	4230;4461;8711;9559;15527;15665;16632;17038;19594;25201;27056;28536;31533;36543;38517					-1
YBR059C	YBR059C	6	6	6	sp|YBR059C|AKL1_YEAST NCSL01000019.1 69036-72362 ORF Verified Ser-Thr protein kinase; member (with Ark1p and Prk1p) of the Ark kinase family; involved in endocytosis and actin cytoskeleton organization GN=AKL1 PE=1 SV=1	1	6	6	6	6	6	6	6	6	6	124.01	1108	1108	5.43	2	1				1			2	1			0	16.816	By MS/MS	123420	126910	72603	74487	78706	86904	96998	53144	72956	68654	75243	92400	96955	82934	45363	119310	123420	126910	72603	74487	78706	86904	96998	53144	72956	68654	75243	92400	96955	82934	45363	119310	4	4	3	4	4	3	4	3	4	3	4	4	4	3	2	4	6	380420000	380420000	6				208	6596;8812;16431;24414;25274;31371	True;True;True;True;True;True	6816;9118;16971;25269;26152;32458	11525;15548;15549;28541;42311;43811;54994	10090;13525;24924;36914;38228;47891	10090;13525;24924;36914;38228;47891					-1
YBR061C	YBR061C	3	3	3	sp|YBR061C|TRM7_YEAST NCSL01000019.1 63508-64440 ORF Verified 2-O-ribose methyltransferase; methylates the 2-O-ribose of tRNA-Phe, tRNA-Trp, and tRNA-Leu at positions C32 and N34 of tRNA anticodon loop; crucial biological role likely modification of tRNA	1	3	3	3	3	3	3	17.1	17.1	17.1	34.714	310	310	11										1	1	1	0	45.656	By MS/MS	117870	152110	131880	132640	145900	180130	203520	106480	143280	225950	112360	167430	170950	135490	141590	205910	117870	152110	131880	132640	145900	180130	203520	106480	143280	225950	112360	167430	170950	135490	141590	205910	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	17.1	147630000	147630000	3				209	14825;16048;29848	True;True;True	15316;16573;30884	25795;27870;52143	22564;24371;45437	22564;24371;45437					-1
YBR062C	YBR062C	2	2	2	sp|YBR062C|dubious52_YEAST NCSL01000019.1 62627-63251 ORF Uncharacterized Protein of unknown function that interacts with Msb2p; may play a role in activation of the filamentous growth pathway GN=dubious52 PE=1 SV=1	1	2	2	2	2	2	2	12.2	12.2	12.2	20.578	180	180	3.67			1	2									0	60.645	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7730.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7730.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12.2	572760000	572760000	3				210	22772;25347	True;True	23579;26227	39401;43922;43923	34386;38335;38336	34386;38335					-1
YBR063C	YBR063C	2	2	2	sp|YBR063C|dubious53_YEAST NCSL01000019.1 61043-62257 ORF Uncharacterized Putative protein of unknown function; YBR063C is not an essential gene GN=dubious53 PE=1 SV=1	1	2	2	2	2	2	2	4	4	4	46.363	404	404	2.5	1			1									0.00030769	3.7553	By MS/MS	75694	98454	33381	17472	106540	94350	22054	18347	212080	390730	342660	335870	345490	379110	194110	290380	75694	98454	33381	17472	106540	94350	22054	18347	212080	390730	342660	335870	345490	379110	194110	290380	2	2	1	1	2	2	1	1	2	2	2	2	2	2	2	2	4	233560000	233560000	2				211	18006;24537	True;True	18604;25392	31334;42523	27299;37103	27299;37103					-1
YBR069C	YBR069C	1	1	1	sp|YBR069C|TAT1_YEAST NCSL01000019.1 50774-52633 ORF Verified Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance inc	1	1	1	1	1	1	1	2.1	2.1	2.1	68.743	619	619	5					1								0	25.023	By MS/MS	72004	96692	36108	30075	105880	99525	66876	67967	81982	130380	156560	154520	87765	90637	92190	203350	72004	96692	36108	30075	105880	99525	66876	67967	81982	130380	156560	154520	87765	90637	92190	203350	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.1	0	0	1				212	15953	True	16477	27702	24236	24236					-1
YBR070C	YBR070C	1	1	1	sp|YBR070C|ALG14_YEAST NCSL01000019.1 49275-49988 ORF Verified Component of UDP-GlcNAc transferase; required for second step of dolichyl-linked oligosaccharide synthesis; anchors catalytic subunit Alg13p to ER membrane; similar to bacterial and human glyco	1	1	1	1	1	1	1	5.1	5.1	5.1	27.012	237	237	11											1		0.0039795	2.2146	By MS/MS	103610	93246	63956	55386	52270	71456	82646	47600	72478	55138	94286	86212	56208	78400	41599	122210	103610	93246	63956	55386	52270	71456	82646	47600	72478	55138	94286	86212	56208	78400	41599	122210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.1	15625000	15625000	1				213	15814	True	16332	27471	24037	24037					-1
YBR071W	YBR071W	4	4	4	sp|YBR071W|dubious55_YEAST NCSL01000019.1 48161-48799 ORF Verified Protein of unknown function found in the cytoplasm and bud neck; mRNA expression may be regulated by the cell cycle and/or cell wall stress; overexpression of YBR071W affects endocytic prot	1	4	4	4	4	4	4	17.9	17.9	17.9	23.649	212	212	6			1	2			1					1	0	9.1795	By MS/MS	111140	75601	105270	81002	98215	108450	76088	50547	202370	342880	302770	309480	241690	238200	168740	312130	111140	75601	105270	81002	98215	108450	76088	50547	202370	342880	302770	309480	241690	238200	168740	312130	2	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	17.9	231920000	231920000	4				214	1224;9933;17891;25341	True;True;True;True	1275;10293;18477;26222	2376;17647;31146;31147;43915	1997;15373;27128;38328	1997;15373;27128;38328					-1
YBR072W	YBR072W	10	10	10	sp|YBR072W|HSP26_YEAST NCSL01000019.1 46552-47196 ORF Verified Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in	1	10	10	10	10	10	10	56.1	56.1	56.1	23.852	214	214	8.29	1			1	2	1	1	3	1	1	2	4	0	188.97	By MS/MS	1177100	1880300	1253500	1070100	2446600	1206200	1966300	2767800	1125900	2782800	2342100	1876900	1756700	2077000	1862900	4230400	1177100	1880300	1253500	1070100	2446600	1206200	1966300	2767800	1125900	2782800	2342100	1876900	1756700	2077000	1862900	4230400	12	15	13	13	16	15	15	18	15	16	17	17	16	15	16	17	56.1	3032300000	3032300000	18				215	356;13240;19974;21148;22540;23313;25410;28679;28680;30048	True;True;True;True;True;True;True;True;True;True	367;13680;20713;21919;23342;24129;26292;29671;29672;31095	654;655;23136;34772;36706;39025;39026;39027;39028;40364;44022;44023;44024;50006;50007;52572;52573	566;567;20205;20206;30353;32046;34061;34062;34063;35211;38423;38424;38425;38426;43615;43616;45803;45804	566;20206;30353;32046;34063;35211;38426;43615;43616;45804					-1
YBR073W	YBR073W	2	2	2	sp|YBR073W|RDH54_YEAST NCSL01000019.1 43235-46009 ORF Verified DNA-dependent ATPase; DNA recombination/repair translocase, supercoils DNA and promotes DNA strand opening; stimulates strand exchange by modifying dsDNA topology; involved in recombinational r	1	2	2	2	2	2	2	2.6	2.6	2.6	104.12	924	924	9							1				1		0.0017417	2.5318	By MS/MS	0	0	0	0	0	0	5301.1	0	0	0	5866.2	2526.3	0	0	0	0	0	0	0	0	0	0	5301.1	0	0	0	5866.2	2526.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2.6	29026000	29026000	2				216	13798;23710	True;True	14256;24531	24010;41076	20999;35850	20999;35850					-1
YBR074W	YBR074W	5	5	5	sp|YBR074W|PFF1_YEAST NCSL01000019.1 40008-42938 ORF Verified Multi-spanning vacuolar membrane protease; glycosylated transmembrane protein bearing homology to the M28 family of metalloproteases; has a lumenal-facing protease domain; proposed role in vacuo	1	5	5	5	5	5	5	7.3	7.3	7.3	111.07	976	976	7.33		1		1					2	2			0	19.535	By MS/MS	356650	375410	147050	203050	193410	274120	308770	181860	278220	269480	332860	372980	357000	319340	199510	638290	356650	375410	147050	203050	193410	274120	308770	181860	278220	269480	332860	372980	357000	319340	199510	638290	5	5	5	6	6	6	6	5	5	6	5	5	5	6	6	6	7.3	170050000	170050000	6				217	9511;12709;13295;24627;31446	True;True;True;True;True	9851;13139;13738;25484;32535	16870;22316;23217;42691;42692;55130	14687;19448;20281;20282;37249;48016	14687;19448;20282;37249;48016					-1
YBR077C	YBR077C	6	6	5	sp|YBR077C|SLM4_YEAST NCSL01000019.1 36931-37419 ORF Verified Component of the EGO and GSE complexes; essential for integrity and function of EGO; EGO is involved in the regulation of microautophagy and GSE is required for proper sorting of amino acid perm	1	6	6	5	6	6	5	35.8	35.8	30.2	18.33	162	162	9						1	1		2		1	1	0	9.3669	By MS/MS	580250	629940	352610	411560	309030	491750	597300	377050	464010	576660	542330	423740	363430	602460	246480	642180	580250	629940	352610	411560	309030	491750	597300	377050	464010	576660	542330	423740	363430	602460	246480	642180	3	5	5	5	5	5	5	4	4	6	4	5	4	6	4	5	35.8	585720000	585720000	6				218	5063;5064;7860;18399;20066;29115	True;True;True;True;True;True	5239;5240;8123;19060;20808;30124	8952;8953;13752;32148;34926;50814	7802;7803;11998;11999;28009;30498	7802;7803;11998;28009;30498					-1
